Emp Code,EmpName,DeptName,Post,Salary,Work From Home,COVID Vaccinated,EXP,TAX
D390001,CONRAD DALTON,MANAGEMENT,CEO,800000,NO,YES,7,100000
D390002,ELIZABETH McCORD,MANAGEMENT,COO,725000,NO,NO,7,200000
D390003,SHELDON COOPER,MANAGEMENT,VICE PRESIDENT,400000,YES,YES,2,100000
D390004,JAY WHITMAN,MANAGEMENT,CHIEF OF STAFF,350000,YES,NO,2,200000
D390005,AMY SANTIAGO,HR,VICE PRESIDENT,355000,YES,YES,2,100000
D390006,SHARON JEFFORDS,HR,GM,275000,YES,NO,10,200000
D390007,VINCENT MARSH,FINANCE,CFO,600000,YES,YES,7,100000
D390008,VICTORIA JUNE,FINANCE,GM,300000,NO,NO,10,200000
D390009,BROOKE BERETTA,FINANCE,EXECUTIVE,215000,YES,YES,5,100000
D390010,PENNY HOFSTADER,SALES,VICE PRESIDENT,425000,YES,YES,2,200000
D390011,RACHEL GREEN,SALES,GM,290000,YES,NO,10,100000
D390012,LEONARD HOFSTADER,R&D,HEAD,250000,YES,YES,10,200000
D390013,RAJESH ,R&D,GM,225000,YES,NO,10,100000
D390014,HOWARD WOLOWITZ,ENGINEERING,HEAD,260000,YES,NO,10,200000
D390015,HENRY McCORD,ENGINEERING,EXECUTIVE,215000,NO,NO,5,100000
D390016,ROSS GELLER,RESEARCH,HEAD,265000,YES,NO,10,200000
D390017,BERNADETTE WOLOWITZ,RESEARCH,EXECUTIVE,220000,YES,NO,5,100000
D390018,AMY COOPER,RESEARCH,EXECUTIVE,220000,YES,YES,5,200000
D390019,EMILY,HEALTH,CHIEF HEALTH OFFICER,480000,NO,YES,7,100000
D390020,RAYMOND HOLT,SECURITY,VICE PRESIDENT,450000,YES,YES,2,200000
D390021,TERRENCE JEFFORDS,SECURITY,COMMANDING OFFICER,350000,YES,YES,10,100000
D390022,CHARLES BOYLE,SECURITY,SUPERVISOR,230000,NO,YES,5,200000
D390023,JAKE PERALTA,SECURITY,EXECUTIVE,215000,NO,YES,5,100000
D390024,CHANDLER BING,TECHNOLOGY,CTO,550000,YES,YES,7,200000
D390025,RUSSELL JACKSON,TECHNOLOGY,VICE PRESIDENT,310000,YES,YES,2,100000
