Emp Code,EmpName,DeptName,Post,Salary,Work From Home,COVID Vaccinated,EXP,TAX
D390001,CONRAD DALTON,MANAGEMENT,CEO,800000,NO,YES,7,100000
D390002,ELIZABETH McCORD,MANAGEMENT,COO,725000,NO,NO,7,200000
D390003,SHELDON COOPER,MANAGEMENT,VICE PRESIDENT,400000,YES,YES,2,100000
D390004,JAY WHITMAN,MANAGEMENT,CHIEF OF STAFF,350000,YES,NO,2,200000
D390005,AMY SANTIAGO,HR,VICE PRESIDENT,355000,YES,YES,2,100000
D390006,SHARON JEFFORDS,HR,GM,275000,YES,NO,10,200000
D390007,VINCENT MARSH,FINANCE,CFO,600000,YES,YES,7,100000
D390008,VICTORIA JUNE,FINANCE,GM,300000,NO,NO,10,200000
D390009,BROOKE BERETTA,FINANCE,EXECUTIVE,215000,YES,YES,5,100000
D390010,PENNY HOFSTADER,SALES,VICE PRESIDENT,425000,YES,YES,2,200000
